"FFMC","DMC","DC","ISI","temp","RH","wind","area","weekend","avg_temp","avg_wind"
86.2,26.2,94.3,1.80828877117927,8.2,51,6.7,0,0,9,6
90.6,35.4,669.1,2.04122032885964,18,33,0.9,0,0,13,4
90.6,43.7,686.9,2.04122032885964,14.6,33,1.3,0,1,13,4
91.7,33.3,77.5,2.30258509299405,8.3,97,4,0,0,9,6
89.3,51.3,102.2,2.36085400111802,11.4,99,1.8,0,1,9,6
92.3,85.3,488,2.75366071235426,22.2,29,5.4,0,1,21.5,5
92.3,88.9,495.6,2.2512917986065,24.1,27,3.1,0,0,21.5,5
91.5,145.4,608.2,2.45958884180371,8,86,2.2,0,0,21.5,5
91,129.5,692.6,2.07944154167984,13.1,63,5.4,0,0,18.5,4
92.5,88,698.6,2.09186406167839,22.8,40,4,0,1,18.5,4
92.5,88,698.6,2.09186406167839,17.8,51,7.2,0,1,18.5,4
92.8,73.2,713,3.16124671203156,19.3,38,4,0,1,18.5,4
63.5,70.8,665.3,0.587786664902119,17,72,6.7,0,0,21.5,5
90.9,126.5,686.5,2.07944154167984,21.3,42,2.2,0,0,18.5,4
92.9,133.3,699.6,2.32238772029023,26.4,21,4.5,0,0,18.5,4
93.3,141.2,713.9,2.70136121295141,22.9,44,5.4,0,0,18.5,4
91.7,35.8,80.8,2.17475172148416,15.1,27,5.4,0,1,9,6
84.9,32.8,664.2,1.38629436111989,16.7,47,4.9,0,0,13,4
89.2,27.9,70.8,1.98787434815435,15.9,35,4,0,0,9,6
86.3,27.4,97.1,1.80828877117927,9.3,44,4.5,0,1,10.5,6
91,129.5,692.6,2.07944154167984,18.3,40,2.7,0,0,18.5,4
91.8,78.5,724.3,2.32238772029023,19.1,38,2.7,0,0,18.5,4
90.2,110.9,537.4,1.97408102602201,19.5,43,5.8,0,1,21.5,5
93.5,139.4,594.2,3.05870707271538,23.7,32,5.8,0,1,21.5,5
91.4,142.4,601.4,2.45100509811232,16.3,60,5.4,0,1,21.5,5
92.4,117.9,668,2.58021682959233,19,34,5.8,0,0,18.5,4
90.9,126.5,686.5,2.07944154167984,19.4,48,1.3,0,0,18.5,4
93.4,145.4,721.4,2.2082744135228,30.2,24,2.7,0,1,18.5,4
93.5,149.3,728.6,2.2082744135228,22.8,39,3.6,0,1,18.5,4
94.3,85.1,692.3,2.82731362192903,25.4,24,3.6,0,0,18.5,4
88.6,91.8,709.9,2.09186406167839,11.2,78,7.6,0,0,18.5,4
88.6,69.7,706.8,1.91692261218206,20.6,37,1.8,0,0,18.5,4
91.7,75.6,718.3,2.17475172148416,17.7,39,3.6,0,1,18.5,4
91.8,78.5,724.3,2.32238772029023,21.2,32,2.7,0,0,18.5,4
90.3,80.7,730.2,1.98787434815435,18.2,62,4.5,0,0,18.5,4
90.6,35.4,669.1,2.04122032885964,21.7,24,4.5,0,0,13,4
90,41.5,682.6,2.27212588550934,11.3,60,5.4,0,0,13,4
90.6,43.7,686.9,2.04122032885964,17.8,27,4,0,1,13,4
88.1,25.7,67.6,1.56861591791385,14.1,43,2.7,0,0,9,6
79.5,60.6,366.7,0.916290731874155,23.3,37,3.1,0,0,21.5,5
